person_name,count,normalised_key
Henry,442,henry
Iohn,347,iohn
Edward,193,edward
William,145,william
Richard,144,richard
Robert,101,robert
Henrie,71,henrie
Lewes,70,lewes
Arthur,66,arthur
Danes,59,danes
Constantinus,57,constantinus
Harold,57,harold
Cnute,52,cnute
Thomas,45,thomas
Edmond,42,edmond
Henrye,42,henrye
Stephen,39,stephen
William Rufus,38,william rufus
Adelstane,37,adelstane
Brute,37,brute
Thomas Becket,37,thomas becket
Egelredus,36,egelredus
Alured,35,alured
Edgar,34,edgar
Charles,33,charles
Egbert,33,egbert
Ethelbert,33,ethelbert
Maude,33,maude
Aulafe,31,aulafe
Godwyn,29,godwyn
Becket Thomas,28,becket thomas
Offa,28,offa
Penda,28,penda
Saxons,28,saxons
Hugh,27,hugh
Margaret,27,margaret
Swanus,27,swanus
VVilliam,27,vvilliam
Philip,26,philip
Stephan,26,stephan
Anselme,25,anselme
Dunstan,25,dunstan
Constantius,24,constantius
Seuerus,24,seuerus
Augustine,23,augustine
Edwyn,23,edwyn
Dauid,22,dauid
Roger,22,roger
Scots,22,scots
Sigibert,22,sigibert
Vortigernus,22,vortigernus
Emma,21,emma
Maximianus,21,maximianus
Rufus William,21,rufus william
Eustace,20,eustace
Geffray,20,geffray
Pictes,20,pictes
Britaines,19,britaines
Cesar,19,cesar
Edwarde,19,edwarde
Elizabeth,19,elizabeth
Ethelwolfus,19,ethelwolfus
Oswy,19,oswy
Vter Pendragon,19,vter pendragon
Aruiragus,18,aruiragus
Raufe,18,raufe
Romanes,18,romanes
Cadwallo,17,cadwallo
Danaus,17,danaus
Geffrey,17,geffrey
Hubert,17,hubert
Mary,17,mary
Oswald,17,oswald
Rollo,17,rollo
Claudius,16,claudius
Edgar Edeling,16,edgar edeling
Edwine,16,edwine
Ella,16,ella
Englishmen,16,englishmen
Adrian,15,adrian
Alfred,15,alfred
Iulius Cesar,15,iulius cesar
Odo,15,odo
Scottes,15,scottes
Alexander,14,alexander
Algar,14,algar
Elidurus,14,elidurus
Ethelred,14,ethelred
Iohns,14,iohns
Peter,14,peter
Tostie,14,tostie
Bassianus,13,bassianus
Beda,13,beda
Editha,13,editha
Ethelburga,13,ethelburga
Helene,13,helene
Iames,13,iames
Christ,12,christ
Hengist,12,hengist
Inas,12,inas
Isabel,12,isabel
Leir,12,leir
Occa,12,occa
Otho,12,otho
Anne,11,anne
Aurelius Ambrose,11,aurelius ambrose
Belinus,11,belinus
Cassibellane,11,cassibellane
Ecgfride,11,ecgfride
Edmond Ironside,11,edmond ironside
Hardicnute,11,hardicnute
Hercules,11,hercules
Locrinus,11,locrinus
Richarde,11,richarde
Sithrike,11,sithrike
Theobald,11,theobald
Ceadwalla,10,ceadwalla
Coilus,10,coilus
Corineus,10,corineus
Cuthred,10,cuthred
Druides,10,druides
Edredus,10,edredus
Ethelbaldus,10,ethelbaldus
Henry Fitzempresse,10,henry fitzempresse
Marcharus,10,marcharus
Perkin Warbecke,10,perkin warbecke
Picts,10,picts
Adelwold,9,adelwold
Cenwalch,9,cenwalch
Constance,9,constance
Edgina,9,edgina
Edwardes,9,edwardes
Eleanor,9,eleanor
Germane,9,germane
Gilbert,9,gilbert
Godfrey,9,godfrey
Gratianus,9,gratianus
Guanius,9,guanius
Lambert,9,lambert
Melga,9,melga
Molle,9,molle
Mordred,9,mordred
Pandrasus,9,pandrasus
Paulinus,9,paulinus
William Conquerour,9,william conquerour
Archigallo,8,archigallo
Brennus,8,brennus
Burthred,8,burthred
Caratacus,8,caratacus
Cedda,8,cedda
Cinegiscus,8,cinegiscus
Ethelwold,8,ethelwold
Griffin,8,griffin
Guenhera,8,guenhera
Lud,8,lud
Malcolme,8,malcolme
Osbright,8,osbright
Redwald,8,redwald
Stigande,8,stigande
Swaine,8,swaine
Theodore,8,theodore
Theodosius,8,theodosius
Turkell,8,turkell
Voadicia,8,voadicia
Welchmen,8,welchmen
Androgeus,7,androgeus
Baldwyn,7,baldwyn
Constans,7,constans
Edbert,7,edbert
Edmund,7,edmund
Edwin,7,edwin
Fraunces,7,fraunces
George,7,george
Godwin,7,godwin
Honorius,7,honorius
Howel,7,howel
Iaphet,7,iaphet
Iustus,7,iustus
Margan,7,margan
Maximilian,7,maximilian
Maximinianus,7,maximinianus
Mellitus,7,mellitus
Osred,7,osred
Oswin,7,oswin
Paulinus Suetonius,7,paulinus suetonius
Pelagius,7,pelagius
Peredurus,7,peredurus
Plautius,7,plautius
Walter,7,walter
Augustus Cesar,6,augustus cesar
Aurelius Conanus,6,aurelius conanus
Aydan,6,aydan
Beatrice,6,beatrice
Berennus,6,berennus
Carausius,6,carausius
Ceadda,6,ceadda
Cerdicus,6,cerdicus
Cheuling,6,cheuling
Colgerne,6,colgerne
Cordilla,6,cordilla
Eadbald,6,eadbald
Ebranke,6,ebranke
Edmerus,6,edmerus
Edwyne,6,edwyne
Elianor,6,elianor
Ethelfleda,6,ethelfleda
Flemmings,6,flemmings
Gorolus,6,gorolus
Gray,6,gray
Guendoloena,6,guendoloena
Guinderius,6,guinderius
Gurguintus,6,gurguintus
Horsus,6,horsus
Ida,6,ida
Iudith,6,iudith
Katharine,6,katharine
Kenelme,6,kenelme
Laurence,6,laurence
Lucius,6,lucius
Maximus,6,maximus
Morindus,6,morindus
Octauius,6,octauius
Osca,6,osca
Poynings Edward,6,poynings edward
Ranulfe,6,ranulfe
Reginald,6,reginald
Roderike,6,roderike
Sarasins,6,sarasins
Sebby,6,sebby
Sighere,6,sighere
Simon,6,simon
Theomantius,6,theomantius
VVilliam Conqueroure,6,vvilliam conqueroure
Vigenius,6,vigenius
Vortimer,6,vortimer
Wylliam,6,wylliam
Albion,5,albion
Aldred,5,aldred
Asclepiodotus,5,asclepiodotus
Baldud,5,baldud
Brightrick,5,brightrick
Cador,5,cador
Cheldrike,5,cheldrike
Cobham,5,cobham
Conan Meridock,5,conan meridock
Egricus,5,egricus
Elgina,5,elgina
Ethelbright,5,ethelbright
Ethelferd,5,ethelferd
Ethelswida,5,ethelswida
Gerard,5,gerard
Geta,5,geta
Gildas,5,gildas
Gualo,5,gualo
Gurmundus,5,gurmundus
Gurthrun,5,gurthrun
Kenred,5,kenred
Kenricus,5,kenricus
Kinewulfe,5,kinewulfe
Kyng Henrye,5,kyng henrye
Lacy Roger,5,lacy roger
Lacy Walter,5,lacy walter
Lanfranke,5,lanfranke
Leofrike,5,leofrike
Lewis,5,lewis
Licinius,5,licinius
Loth,5,loth
Ludhurdibras,5,ludhurdibras
Malgo,5,malgo
Marius,5,marius
Marshal William,5,marshal william
Matthew,5,matthew
Normans,5,normans
Osgote Clappa,5,osgote clappa
Osrike,5,osrike
Plantagenet Geffray,5,plantagenet geffray
Raymond,5,raymond
Reynold,5,reynold
Rise,5,rise
Riuers,5,riuers
Romane,5,romane
Scales,5,scales
Strangbow,5,strangbow
VVolstane,5,vvolstane
Venutius,5,venutius
Vespasian,5,vespasian
Wilfride,5,wilfride
Williams,5,williams
king Iohn,5,king iohn
Albanact,4,albanact
Alectus,4,alectus
Alfrike,4,alfrike
Alice,4,alice
Alpher,4,alpher
Anna,4,anna
Aswald,4,aswald
Bartholoin,4,bartholoin
Britaynes,4,britaynes
Canutus,4,canutus
Clodius Albinus,4,clodius albinus
Conan,4,conan
Cornelius Tacitus,4,cornelius tacitus
Eaufride,4,eaufride
Ebusa,4,ebusa
Ecgbert,4,ecgbert
Edilred,4,edilred
Edmonde,4,edmonde
Edmondes,4,edmondes
Edrick de Streona,4,edrick de streona
Edricus,4,edricus
Egiptus,4,egiptus
Elienor,4,elienor
Englishe men,4,englishe men
Estrild,4,estrild
Ethelard,4,ethelard
Ethelbald,4,ethelbald
Fauconbridge,4,fauconbridge
Felix,4,felix
Ferrex,4,ferrex
Gawayn,4,gawayn
Gogmagog,4,gogmagog
Gracianus,4,gracianus
Gray Iohn,4,gray iohn
Gregorie,4,gregorie
Guintolinus,4,guintolinus
Guthryd,4,guthryd
Guy,4,guy
Har. William,4,har. william
Harold Harfager,4,harold harfager
Hector Boetius,4,hector boetius
Henrie Fitzempresse,4,henrie fitzempresse
Henrye Fitzempresse,4,henrye fitzempresse
Herbert,4,herbert
Howard Thomas,4,howard thomas
Hubert de Burgh,4,hubert de burgh
Humfrey,4,humfrey
Hungerford,4,hungerford
Hypermnestra,4,hypermnestra
Iohn Cheyney,4,iohn cheyney
Iohn Holand,4,iohn holand
Kineard,4,kineard
Kymbeline,4,kymbeline
Lambert William,4,lambert william
Leofwin,4,leofwin
Lincolne,4,lincolne
Lionel,4,lionel
Liulfus,4,liulfus
Llhuyd Humfrey,4,llhuyd humfrey
Lothore,4,lothore
Madan,4,madan
Magnus,4,magnus
Maud,4,maud
