place_name,count,normalised_key
England,457,england
Britaine,334,britaine
London,203,london
Fraunce,173,fraunce
Yorke,134,yorke
Normandie,128,normandie
Scotland,127,scotland
Rome,114,rome
Ireland,105,ireland
Northumberland,100,northumberland
Englande,89,englande
Kent,86,kent
Wales,84,wales
Cantorburie,83,cantorburie
Mercia,77,mercia
France,67,france
Winchester,64,winchester
Canterburie,62,canterburie
Chester,56,chester
Oxford,54,oxford
Lincolne,53,lincolne
Britayne,48,britayne
Flaunders,48,flaunders
Westminster,37,westminster
Cantorbury,36,cantorbury
Durham,33,durham
Gloucester,33,gloucester
Normandy,33,normandy
Rochester,29,rochester
Britaines,27,britaines
Cambridge,27,cambridge
Salisburie,27,salisburie
Brytaine,26,brytaine
Denmarke,24,denmarke
Suffolke,24,suffolke
Hereford,23,hereford
Scots,23,scots
Towre,23,towre
Britain,22,britain
Lancaster,22,lancaster
Sussex,21,sussex
Canterbury,20,canterbury
Cornwal,20,cornwal
Ely,20,ely
Essex,20,essex
Northumberlande,20,northumberlande
Scotlande,20,scotlande
Aniou,19,aniou
Scottes,19,scottes
Douer,18,douer
Norfolke,18,norfolke
Northampton,18,northampton
Glocester,17,glocester
Leycester,17,leycester
Normandye,17,normandye
Norwich,17,norwich
Paris,17,paris
Exceter,16,exceter
Huntington,16,huntington
Thames,16,thames
West Saxons,16,west saxons
Calais,15,calais
Chichester,14,chichester
Cornwall,14,cornwall
Eastangles,14,eastangles
Englad,14,englad
Exeter,14,exeter
Irelande,14,irelande
Richmond,14,richmond
Spaine,14,spaine
Worcester,14,worcester
Calice,13,calice
Colchester,13,colchester
Gallia,13,gallia
Ile of Wight,13,ile of wight
East Angles,12,east angles
Guisnes,12,guisnes
Lancastar,12,lancastar
Somerset,12,somerset
Albemarle,11,albemarle
Cornewall,11,cornewall
Cressy,11,cressy
Germanie,11,germanie
Ierusalem,11,ierusalem
Northumbers,11,northumbers
Norway,11,norway
Oxforde,11,oxforde
Penbroke,11,penbroke
Saint Albons,11,saint albons
Anglesey,10,anglesey
Bathe,10,bathe
Bologne,10,bologne
Caen,10,caen
Cumberland,10,cumberland
Flanders,10,flanders
Italy,10,italy
Leicester,10,leicester
Newcastle,10,newcastle
North,10,north
Northfolke,10,northfolke
Notingham,10,notingham
Pembroke,10,pembroke
Salisbury,10,salisbury
Tower of London,10,tower of london
Warwicke,10,warwicke
