paragraph_number,name,start_offset,end_offset,left_context,right_context,full_context
12,Archbishop,1143,1153,the,of Yorke,the Archbishop of Yorke
12,Doctor,1236,1242,"Heth,",in Diuinitie,"Heth, Doctor in Diuinitie"
12,Elizabeth,180,189,Queene,.,Queene Elizabeth .
12,Elizabeth,646,655,Ladie,sister,Ladie Elizabeth sister
12,Nicholas,1221,1229,name was,Heth,name was Nicholas Heth
12,Queene,173,179,,Elizabeth,Queene Elizabeth
12,Queene,258,264,,Mary,Queene Mary
12,Queene,676,682,sayde,to,sayde Queene to
14,Duke,2185,2189,witte the,of Norffolke,witte the Duke of Norffolke
14,Elizabeth,570,579,Ladie,", second","Ladie Elizabeth , second"
14,Elizabeth,1082,1091,Ladie,Queene,Ladie Elizabeth Queene
14,Elizabeth,1248,1257,Queene,", long","Queene Elizabeth , long"
14,Elizabeth,1275,1284,Queene,raigne,Queene Elizabeth raigne
14,Elizabeth,1712,1721,Ladie,proclaymed,Ladie Elizabeth proclaymed
14,Elizabeth,1853,1862,"tytle,",by the,"tytle, Elizabeth by the"
14,Elizabeth,2713,2722,Ladie Q.,began,Ladie Q. Elizabeth began
14,Erle,2246,2250,the,of Oxforde,the Erle of Oxforde
14,Ferdinando,3029,3039,Empire of,the first,Empire of Ferdinando the first
14,Henrie,665,671,King,the eight,King Henrie the eight
14,Henrie,3150,3156,raigne of,the,raigne of Henrie the
14,lord Maior,2461,2471,of the,and,of the lord Maior and
14,Marie,256,261,Queene,", which","Queene Marie , which"
14,Marie,3252,3257,raigne of,Q.,raigne of Marie Q.
14,Queene,249,255,Ladie,Marie,Ladie Queene Marie
14,Queene,729,735,late,", of whose","late Queene , of whose"
14,Queene,1092,1098,Elizabeth,of thys,Elizabeth Queene of thys
14,Queene,1241,1247,saue,Elizabeth,saue Queene Elizabeth
14,Queene,1268,1274,long may,Elizabeth,long may Queene Elizabeth
14,Queene,1754,1760,,. in most,Queene . in most
14,Queene,1803,1809,newe,", by thys","newe Queene , by thys"
14,Queene,1883,1889,of God,of England,of God Queene of England
15,Archbishop,199,209,and,of Canterburie,and Archbishop of Canterburie
15,Marie,136,141,Poole.,", Reginalde","Poole. Marie , Reginalde"
19,Iames,141,146,Sainte,", vnto","Sainte Iames , vnto"
19,Queene,75,81,,Mary,Queene Mary
19,Queene,196,202,Westminster.,Mary,Westminster. Queene Mary
20,Henry,345,350,King,the seuenth,King Henry the seuenth
21,Charles,228,235,for,the seuenth,for Charles the seuenth
22,Philip,813,819,King,,King Philip
22,Queene,39,45,of the,of Fraunce,of the Queene of Fraunce
22,Queene,265,271,,Leonore,Queene Leonore
22,Queene,503,509,"Mary,",of Hu,"Mary, Queene of Hu"
22,Queene,560,566,of the,of,of the Queene of
22,Queene,956,962,"Mary,",of Hungary,"Mary, Queene of Hungary"
22,Queene,1015,1021,"Mary,",of England,"Mary, Queene of England"
26,Lord Maior,191,201,,", according","Lord Maior , according"
27,Lord Maior,155,165,the,and Aldermen,the Lord Maior and Aldermen
29,Elizabeth,242,251,Lady,by the,Lady Elizabeth by the
29,Queene,272,278,of God,,of God Queene
29,Queene,3966,3972,their,", and","their Queene , and"
33,Edwarde,202,209,King,the,King Edwarde the
33,Elizabeth,165,174,,his wife,Elizabeth his wife
33,Elizabeth,556,565,Queene,", being","Queene Elizabeth , being"
33,Elizabeth,1653,1662,Ladye Q.,that,Ladye Q. Elizabeth that
33,Henry,121,126,King,the seuenth,King Henry the seuenth
33,Henry,400,405,Kyng,the,Kyng Henry the
33,Henry,1576,1581,King,the eyght,King Henry the eyght
33,Prince,1344,1350,noble,Kyng,noble Prince Kyng
33,Queene,549,555,which was,Elizabeth,which was Queene Elizabeth
33,Queene,1541,1547,Ladye,Anne,Ladye Queene Anne
33,Queene,1789,1795,King and,",","King and Queene ,"
34,Elizabeth,283,292,Maiestie,", now","Maiestie Elizabeth , now"
37,Elizabeth,192,201,when,", daughter","when Elizabeth , daughter"
37,Elizabeth,394,403,name was,", and","name was Elizabeth , and"
37,Elizabeth,579,588,lyke as,,lyke as Elizabeth
37,Elizabeth,658,667,another,",  mighte","another Elizabeth ,  mighte"
37,Henry,449,454,heire of,the eyght,heire of Henry the eyght
44,Queene,502,508,to the,and,to the Queene and
59,Iohn,1192,1196,commaunding Sir,Parrat,commaunding Sir Iohn Parrat
59,Sir,1188,1191,commaunding,Iohn,commaunding Sir Iohn
60,Lord Maior,671,681,that the,his breethren,that the Lord Maior his breethren
60,Maister,246,253,worshipfull,Ranulph,worshipfull Maister Ranulph
60,Maister,528,535,"golde, as",,"golde, as Maister"
60,Queene,926,932,gracious,", and","gracious Queene , and"
60,Queene,1516,1522,Lady and,", bee","Lady and Queene , bee"
60,Queene,1600,1606,euer,was to,euer Queene was to
64,Iohn,216,220,by Sir,Parrat,by Sir Iohn Parrat
64,Queene,266,272,the,. But,the Queene . But
64,Sir,212,215,whyche by,Iohn,whyche by Sir Iohn
71,Prince,308,314,noble,", which","noble Prince , which"
73,Queene,1089,1095,as a,,as a Queene
76,Edwarde,2061,2068,King,the sixt,King Edwarde the sixt
76,Henrie,1892,1898,king,the eight,king Henrie the eight
76,Prince,1880,1886,noble,king,noble Prince king
81,Queene,99,105,,",  At","Queene ,  At"
83,Queene,301,307,gracious a,and soueraigne,gracious a Queene and soueraigne
85,Henrie,147,153,king,the eight,king Henrie the eight
86,Queene,300,306,good a,",","good a Queene ,"
90,Prince,383,389,noble,", in","noble Prince , in"
93,Prince,615,621,,", which","Prince , which"
95,Bishop,153,159,Oglthorpe,of Carleil,Oglthorpe Bishop of Carleil
95,doctor,136,142,"there, by",Oglthorpe,"there, by doctor Oglthorpe"
96,Edwarde,76,83,,Dimmocke,Edwarde Dimmocke
96,Edwarde,98,105,sir,Dimmocke,sir Edwarde Dimmocke
96,knight,115,121,Dimmocke,hir Champion,Dimmocke knight hir Champion
96,Queene,489,495,lawfull,of,lawfull Queene of
96,Queene,534,540,The,taking,The Queene taking
96,Sir,51,54,"dinner,",,"dinner, Sir"
96,sir,94,97,Dimmocke.,Edwarde,Dimmocke. sir Edwarde
97,Queene,47,53,serueth the,of Ipocrasse,serueth the Queene of Ipocrasse
97,Queene,243,249,to the,", and","to the Queene , and"
