line_number,name,left_context,right_context,full_context
9,England,chronicles of ,", Scotlande","chronicles of England, Scotlande"
9,Ireland,and ,e,and Irelande
10,England,chronicles of ,", from","chronicles of England, from"
54,England,chronicles of ,", Scotlande","chronicles of England, Scotlande"
55,England,chronicles of ,", from","chronicles of England, from"
55,Ireland,,e conteyning,Irelande conteyning
72,England,chronicles of ,",","chronicles of England,"
73,Ireland,and ,"e, with","and Irelande, with"
173,Elizabeth,"div n="""," I"" type=","div n=""Elizabeth I"" type="
175,Elizabeth,Queene ,.</head,Queene Elizabeth.</head
175,Queene,head>, Elizabeth,head>Queene Elizabeth
182,Elizabeth,Queene ,.</note,Queene Elizabeth.</note
182,Queene,"margin"">", Elizabeth,"margin"">Queene Elizabeth"
184,Queene,, Mary,Queene Mary
189,Elizabeth,Ladie , sister,Ladie Elizabeth sister
189,Queene,sayde , to,sayde Queene to
190,England,Crowne of ,"e, sent","Crowne of Englande, sent"
196,England,Chauncellor of ,"e, whose","Chauncellor of Englande, whose"
200,Queene,Ladie , Marie,Ladie Queene Marie
203,Elizabeth,Ladie ,", second","Ladie Elizabeth, second"
205,Queene,late ,", of whose","late Queene, of whose"
209,Elizabeth,Ladie , Queene,Ladie Elizabeth Queene
209,Queene,Elizabeth , of thys,Elizabeth Queene of thys
210,Elizabeth,Queene ,", long","Queene Elizabeth, long"
210,Elizabeth,Queene , raigne,Queene Elizabeth raigne
210,Queene,saue , Elizabeth,saue Queene Elizabeth
210,Queene,long may , Elizabeth,long may Queene Elizabeth
215,Elizabeth,Ladie , proclaymed,Ladie Elizabeth proclaymed
216,Queene,,.</note,Queene.</note
216,Queene,newe ,", by thys","newe Queene, by thys"
217,Elizabeth,<hi>, by the,<hi>Elizabeth by the
217,England,Queene of ,", Fraunce","Queene of England, Fraunce"
217,Queene,of God , of England,of God Queene of England
218,Ireland,,"e, defender","Irelande, defender"
226,Elizabeth,Ladie Q. , began,Ladie Q. Elizabeth began
227,England,,"e, to","Englande, to"
239,Queene,>The ,s remouing,>The Queenes remouing
240,Queene,the ,s,the Queenes
274,Queene,, Mary,Queene Mary
275,Queene,"margin"">", Mary,"margin"">Queene Mary"
279,England,"armes, of ", and,"armes, of England and"
293,Queene,of the , of Fraunce,of the Queene of Fraunce
296,Queene,, Leonore,Queene Leonore
298,Queene,"Mary, ", of Hu,"Mary, Queene of Hu"
299,Queene,of the , of,of the Queene of
303,Queene,"Mary, ", of Hungary,"Mary, Queene of Hungary"
304,England,Queene of ,", in this","Queene of England, in this"
304,Queene,"Mary, ", of England,"Mary, Queene of England"
310,Queene,of the ,s Proclamation,of the Queenes Proclamation
317,Queene,the ,s maiestie,the Queenes maiestie
336,Elizabeth,Lady , by the,Lady Elizabeth by the
336,Queene,of God ,,of God Queene
337,England,of ,", Fraunce","of England, Fraunce"
337,Ireland,Fraunce and ,", defendour","Fraunce and Ireland, defendour"
352,Queene,The ,s Maiestie,The Queenes Maiestie
376,Queene,therefore the ,s Maiestie,therefore the Queenes Maiestie
378,Queene,their ,", and","their Queene, and"
382,Queene,,s Maiestie,Queenes Maiestie
387,Queene,souerayne ,", behold","souerayne Queene, behold"
413,Queene,therefore O ,", as much","therefore O Queene, as much"
414,Queene,agayne O ,", as much","agayne O Queene, as much"
422,Queene,And the ,s maiestie,And the Queenes maiestie
424,Queene,in the ,s Maiesties,in the Queenes Maiesties
478,Queene,,s highnes,Queenes highnes
486,Elizabeth,, his wife,Elizabeth his wife
490,Elizabeth,Queene ,", being","Queene Elizabeth, being"
490,Queene,which was , Elizabeth,which was Queene Elizabeth
500,Queene,Ladye , Anne,Ladye Queene Anne
501,Elizabeth,Ladye Q. , that,Ladye Q. Elizabeth that
502,Queene,King and ,",","King and Queene,"
508,Elizabeth,Maiestie ,", now","Maiestie Elizabeth, now"
508,Queene,,s most,Queenes most
512,Queene,the ,s Maiesties,the Queenes Maiesties
520,Queene,vppon the ,s Maiesties,vppon the Queenes Maiesties
522,Elizabeth,when ,", daughter","when Elizabeth, daughter"
523,Queene,that the ,"s, Maiesties","that the Queenes, Maiesties"
524,Elizabeth,name was ,", and","name was Elizabeth, and"
525,Elizabeth,lyke as ,,lyke as Elizabeth
526,Elizabeth,another ,",  mighte","another Elizabeth,  mighte"
528,Queene,as the ,s Maiesties,as the Queenes Maiesties
529,Queene,against the ,s Maiesties,against the Queenes Maiesties
533,Queene,,s Maiestie,Queenes Maiestie
537,Queene,Kings and ,s aboue,Kings and Queenes aboue
552,Elizabeth,Queene , his mate,Queene Elizabeth his mate
552,Queene,and , Elizabeth,and Queene Elizabeth
557,Queene,l>The , to Yorke,l>The Queene to Yorke
559,Elizabeth,Queene , dost,Queene Elizabeth dost
559,Queene,thou , Elizabeth,thou Queene Elizabeth
565,Queene,noble ,", thou","noble Queene, thou"
574,Elizabeth,Regina ,"a,</l","Regina Elizabetha,</l"
591,Elizabeth,haere , tui.,haere Elizabeth tui.
614,Queene,the ,s Maiestie,the Queenes Maiestie
619,Queene,,s Maiestie,Queenes Maiestie
622,Queene,When the ,s Maiestie,When the Queenes Maiestie
638,Queene,representing the ,s,representing the Queenes
647,Queene,to the , and,to the Queene and
664,England,armes of ,",","armes of England,"
667,Queene,representing the ,s highnes,representing the Queenes highnes
672,Queene,The ,s Maiestie,The Queenes Maiestie
734,Queene,the ,s Maiestie,the Queenes Maiestie
738,Queene,p>The ,s Maiestie,p>The Queenes Maiestie
752,Queene,vnto the ,s Maiestie,vnto the Queenes Maiestie
758,Elizabeth,Queene ,.</q>,Queene Elizabeth.</q>
758,Queene,Lady , Elizabeth,Lady Queene Elizabeth
762,Queene,that the ,s highnes,that the Queenes highnes
774,Queene,the ,s Maiestie,the Queenes Maiestie
780,Queene,"blest, O ", of worthy,"blest, O Queene of worthy"
794,Queene,whome the ,s Maiestie,whome the Queenes Maiestie
818,Queene,the ,s Maiestie,the Queenes Maiestie
826,Queene,as the ,s Maiestie,as the Queenes Maiestie
847,Queene,the  ,s highnesse,the  Queenes highnesse
851,Queene,to the ,s Maiestie,to the Queenes Maiestie
853,Queene,,s Maiestie,Queenes Maiestie
854,Queene,vnto the ,s Maiestie,vnto the Queenes Maiestie
856,Queene,towards the ,s,towards the Queenes
857,Queene,gracious ,", and","gracious Queene, and"
858,Queene,The ,s Maiestie,The Queenes Maiestie
863,Queene,Lady and ,", bee","Lady and Queene, bee"
864,Queene,euer , was to,euer Queene was to
891,Queene,before the ,s highnes,before the Queenes highnes
901,Queene,when the ,s Maiestie,when the Queenes Maiestie
927,Queene,worthy ,",</l>","worthy Queene,</l>"
932,Queene,,s Maiestie,Queenes Maiestie
933,Queene,the ,. But,the Queene. But
936,Queene,vnto the ,s Maiestie,vnto the Queenes Maiestie
986,Queene,the ,s Maiestie,the Queenes Maiestie
1043,Elizabeth,accepturi ,am Reginam,accepturi Elizabetham Reginam
1087,Elizabeth,<l>, Regni,<l>Elizabeth Regni
1103,Queene,Which the ,s Maiestie,Which the Queenes Maiestie
1105,Queene,vnto the ,s Maiestie,vnto the Queenes Maiestie
1106,Queene,when the ,s Maiestie,when the Queenes Maiestie
1128,Queene,as a ,,as a Queene
1135,Queene,When the ,s Maiestie,When the Queenes Maiestie
1153,Queene,worthie ,", thou","worthie Queene, thou"
1178,Elizabeth,Anglis ,a tuis,Anglis Elizabetha tuis
