line_number,name,left_context,right_context,full_context
173,Elizabeth,"div n="""," I"" type=","div n=""Elizabeth I"" type="
175,Elizabeth,Queene ,.</head,Queene Elizabeth.</head
182,Elizabeth,Queene ,.</note,Queene Elizabeth.</note
189,Elizabeth,Ladie , sister,Ladie Elizabeth sister
203,Elizabeth,Ladie ,", second","Ladie Elizabeth, second"
209,Elizabeth,Ladie , Queene,Ladie Elizabeth Queene
210,Elizabeth,Queene ,", long","Queene Elizabeth, long"
210,Elizabeth,Queene , raigne,Queene Elizabeth raigne
215,Elizabeth,Ladie , proclaymed,Ladie Elizabeth proclaymed
217,Elizabeth,<hi>, by the,<hi>Elizabeth by the
226,Elizabeth,Ladie Q. , began,Ladie Q. Elizabeth began
336,Elizabeth,Lady , by the,Lady Elizabeth by the
486,Elizabeth,, his wife,Elizabeth his wife
490,Elizabeth,Queene ,", being","Queene Elizabeth, being"
501,Elizabeth,Ladye Q. , that,Ladye Q. Elizabeth that
508,Elizabeth,Maiestie ,", now","Maiestie Elizabeth, now"
522,Elizabeth,when ,", daughter","when Elizabeth, daughter"
524,Elizabeth,name was ,", and","name was Elizabeth, and"
525,Elizabeth,lyke as ,,lyke as Elizabeth
526,Elizabeth,another ,",  mighte","another Elizabeth,  mighte"
552,Elizabeth,Queene , his mate,Queene Elizabeth his mate
559,Elizabeth,Queene , dost,Queene Elizabeth dost
574,Elizabeth,Regina ,"a,</l","Regina Elizabetha,</l"
591,Elizabeth,haere , tui.,haere Elizabeth tui.
758,Elizabeth,Queene ,.</q>,Queene Elizabeth.</q>
1043,Elizabeth,accepturi ,am Reginam,accepturi Elizabetham Reginam
1087,Elizabeth,<l>, Regni,<l>Elizabeth Regni
1178,Elizabeth,Anglis ,a tuis,Anglis Elizabetha tuis
1577,Elizabeth,Queene ,", they","Queene Elizabeth, they"
2748,Elizabeth,"princesse, ", by the,"princesse, Elizabeth by the"
6478,Elizabeth,Queene ,. All,Queene Elizabeth. All
6729,Elizabeth,,. They,Elizabeth. They
6972,Elizabeth,Queene , a,Queene Elizabeth a
7405,Elizabeth,names of ,", Marie","names of Elizabeth, Marie"
7556,Elizabeth,Queene ,", whose","Queene Elizabeth, whose"
